Time,Scheduled,Crawled
208.06266164779663,53758,274
208.30442643165588,53758,275
208.4368281364441,53758,276
208.6709201335907,53758,277
208.89359521865845,53758,278
209.34747433662415,54449,279
209.4271960258484,54449,280
209.50965523719788,54449,281
210.37209582328796,55156,282
210.49961352348328,55156,283
210.6191873550415,55156,284
210.7583577632904,55156,285
210.7913579940796,55156,286
211.12631678581238,55918,287
211.2465465068817,55964,288
211.36266326904297,55964,289
212.60926795005798,56726,290
212.88467502593994,56726,291
213.01698350906372,56726,292
213.1747317314148,56726,293
213.3587555885315,56777,294
213.8018352985382,57516,295
213.94944024085999,57516,296
214.08575224876404,57516,297
215.16682052612305,58237,298
215.46553111076355,58237,299
215.5057601928711,58237,300
215.87191534042358,58237,301
216.0056381225586,58237,302
216.37156534194946,58793,303
216.55850267410278,58793,304
216.7376012802124,58793,305
218.09557056427002,59433,306
218.39355063438416,59433,307
218.59283185005188,59433,308
218.72306847572327,59433,309
218.98461604118347,59433,310
219.44460606575012,60175,311
219.57596921920776,60175,312
219.78378200531006,60175,313
220.93075132369995,60807,314
221.0055959224701,60807,315
221.15240669250488,60807,316
221.24862122535706,60807,317
221.48695945739746,60807,318
221.9841856956482,61554,319
222.0562388896942,61554,320
222.38085961341858,61554,321
224.6022551059723,63055,322
224.7286558151245,63055,323
224.7756543159485,63055,324
224.8463954925537,63061,325
224.92001581192017,63061,326
224.95327019691467,63061,327
225.07812333106995,63061,328
225.22716331481934,63061,329
226.13179802894592,63294,330
226.22884249687195,63294,331
226.44260549545288,63294,332
226.841326713562,63294,333
226.92864179611206,63294,334
227.31917715072632,63294,335
227.67786288261414,63294,336
227.87030601501465,63294,337
229.40001893043518,64120,338
229.4547474384308,64120,339
229.59390234947205,64120,340
229.71835613250732,64120,341
230.29481840133667,64120,342
230.55131888389587,64120,343
230.85438108444214,64120,344
231.52646923065186,64120,345
232.56820821762085,64940,346
232.79370713233948,64940,347
233.03102231025696,64940,348
233.11717581748962,64972,349
233.73398280143738,64972,350
234.02706146240234,64972,351
234.36031436920166,64972,352
234.70688343048096,64972,353
236.98748016357422,65677,354
237.2680218219757,65677,355
237.56477284431458,65677,356
237.84224104881287,65677,357
238.43024849891663,66150,358
239.30920147895813,66150,359
239.90926027297974,66150,360
240.77899050712585,66463,361
241.1082558631897,66463,362
241.737478017807,66463,363
241.93727803230286,66463,364
243.82152485847473,66463,365
246.7220139503479,66855,366
247.10637640953064,66855,367
247.7193911075592,67290,368
247.8713982105255,67290,369
253.1405794620514,73778,370
253.3482928276062,73944,371
253.54339599609375,73944,372
253.60075569152832,73982,373
253.81195425987244,73982,374
254.03752779960632,73982,375
255.01878476142883,74172,376
255.19560980796814,74172,377
255.6156461238861,74379,378
256.39633989334106,74379,379
256.4468822479248,74379,380
256.69331550598145,74379,381
256.7680163383484,74379,382
256.8722012042999,74379,383
257.17922711372375,74656,384
258.117404460907,74896,385
258.19576358795166,74896,386
258.26789116859436,74896,387
258.34498286247253,74896,388
258.4054765701294,74896,389
258.50055480003357,74896,390
258.54837918281555,74896,391
259.2959215641022,75280,392
260.2797417640686,75640,393
262.19628524780273,77510,394
262.38162994384766,77510,395
262.5371849536896,77524,396
262.67809438705444,77524,397
262.83292722702026,77544,398
263.23611545562744,77663,399
263.3928077220917,77663,400
263.7499575614929,77791,401
263.84523367881775,77791,402
264.03460788726807,77791,403
264.18024253845215,77791,404
264.24075651168823,77791,405
264.5009574890137,77791,406
265.154349565506,77964,407
265.28310537338257,77964,408
265.57068729400635,78123,409
265.79859805107117,78123,410
265.93705105781555,78123,411
265.9955871105194,78123,412
266.18855690956116,78123,413
266.2353091239929,78123,414
266.92950892448425,78521,415
267.1445949077606,78521,416
268.85249853134155,79769,417
268.96164202690125,79769,418
269.0537860393524,79769,419
269.173348903656,79769,420
269.31953501701355,79769,421
269.451851606369,79769,422
269.55672454833984,79769,423
269.79652547836304,79769,424
270.8816840648651,80261,425
271.1207027435303,80261,426
271.233606338501,80261,427
271.50855469703674,80261,428
271.6299867630005,80261,429
272.6548993587494,80619,430
272.73954153060913,80619,431
